body type,Brand,model,modelYear,price,Kms Driven,Fuel Type,Transmission,Max Power,Torque,Mileage,Engine,ownerNo,Insurance Validity,Seats,City
SUV,Mahindra,Mahindra KUV 100,2016,4.94,23017,Diesel,Manual,77.0,190.0,25.32,1198,1,Third Party,6,Bangalore
Hatchback,Hyundai,Hyundai i20,2013,5.25,83000,Diesel,Manual,88.0,219.0,21.27,1396,2,Comprehensive,5,Bangalore
SUV,BMW,BMW X3,2016,28.9,92000,Diesel,Automatic,187.0,400.0,16.55,1995,2,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Wagon R,2018,5.5,62139,Petrol,Manual,67.0,90.0,20.51,998,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i10,2013,3.65,74000,LPG,Manual,68.0,99.0,19.2,1086,1,Comprehensive,5,Bangalore
Hatchback,Renault,Renault KWID,2016,4.2,26500,Petrol,Automatic,67.0,91.0,24.04,999,2,Comprehensive,5,Bangalore
Sedan,Volvo,Volvo S60,2017,18.95,81716,Diesel,Automatic,190.0,400.0,27.03,1969,1,Comprehensive,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz E-Class,2018,59.9,24000,Diesel,Automatic,254.0,620.0,17.0,2987,2,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra XUV300,2022,10.5,10000,Petrol,Automatic,108.0,200.0,17.0,1197,1,Third Party insurance,5,Bangalore
SUV,MG,MG Hector Plus,2021,20.75,18000,Petrol,Automatic,141.0,250.0,16.56,1451,1,Comprehensive,6,Bangalore
Hatchback,Honda,Honda Brio,2013,3.94,38197,Petrol,Manual,86.0,109.0,19.4,1198,1,Third Party,5,Bangalore
Hatchback,Maruti,Maruti Baleno,2017,7.25,23000,Petrol,Automatic,81.0,113.0,19.56,1197,2,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Alto K10,2013,2.4,50000,Petrol,Manual,67.0,90.0,20.92,998,1,Third Party insurance,5,Bangalore
SUV,Renault,Renault Kiger,2022,8.35,10000,Petrol,Automatic,71.0,96.0,19.03,999,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2019,6.95,19000,Petrol,Manual,81.0,113.0,18.9,1197,1,Third Party insurance,5,Bangalore
SUV,Kia,Kia Seltos,2020,17.25,14000,Petrol,Automatic,138.0,242.0,16.5,1353,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai EON,2014,3.3,29268,Petrol,Manual,55.0,74.0,21.1,814,1,Comprehensive,5,Bangalore
Sedan,Volkswagen,Volkswagen Vento,2019,9.9,20000,Petrol,Automatic,103.0,175.0,18.19,1197,1,Third Party insurance,5,Bangalore
Sedan,Toyota,Toyota Yaris,2018,7.5,30000,Petrol,Manual,105.0,140.0,17.1,1496,1,Third Party insurance,5,Bangalore
SUV,MG,MG Hector,2021,17.5,30000,Diesel,Manual,167.0,350.0,17.41,1956,1,Third Party insurance,5,Bangalore
SUV,Hyundai,Hyundai Alcazar,2022,20.83,7100,Petrol,Automatic,156.0,191.0,14.2,1999,1,Comprehensive,6,Bangalore
Hatchback,Hyundai,Hyundai i10,2010,2.71,43679,Petrol,Manual,68.0,99.0,19.81,1086,1,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Creta,2018,12.8,40000,Petrol,Automatic,121.0,151.0,14.8,1591,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2012,4.36,40562,Diesel,Manual,88.0,219.0,22.54,1396,1,Third Party,5,Bangalore
SUV,Hyundai,Hyundai Creta,2021,16.75,26500,Petrol,Automatic,138.0,242.0,19.24556842105263,1397,2,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Venue,2019,12.5,20000,Petrol,Automatic,118.0,171.0,18.15,998,1,Third Party insurance,5,Bangalore
SUV,Mahindra,Mahindra XUV500,2016,13.5,58600,Diesel,Automatic,140.0,330.0,16.0,2179,1,Third Party insurance,7,Bangalore
SUV,Hyundai,Hyundai Venue,2019,12.5,20000,Petrol,Automatic,118.0,171.0,18.15,998,1,Third Party insurance,5,Bangalore
SUV,Volkswagen,Volkswagen T-Roc,2020,22.25,42050,Petrol,Automatic,147.0,250.0,18.4,1498,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2015,4.75,65017,Petrol,Automatic,67.0,90.0,23.1,998,1,2,5,Bangalore
Sedan,BMW,BMW 3 Series,2008,6.0,80000,Diesel,Automatic,170.0,34.0,13.2,1995,2,Third Party insurance,5,Bangalore
SUV,Jeep,Jeep Compass,2021,24.5,30000,Petrol,Automatic,160.0,250.0,14.1,1368,1,Third Party insurance,5,Bangalore
SUV,Kia,Kia Seltos,2020,16.25,20000,Petrol,Automatic,138.0,242.0,16.5,1353,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i10,2009,2.49,80000,Petrol,Manual,78.0,111.0,20.36,1197,3,Third Party insurance,5,Bangalore
SUV,Audi,Audi Q5,2016,25.99,30000,Diesel,Automatic,174.0,380.0,14.16,1968,2,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i10,2009,2.49,80000,Petrol,Manual,78.0,111.0,20.36,1197,3,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Alto K10,2017,3.85,52204,Petrol,Manual,65.0,89.0,24.39,998,1,Third Party,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2012,3.0,110000,Petrol,Manual,80.0,11.0,17.0,1197,3,Third Party insurance,5,Bangalore
SUV,Ford,Ford Endeavour,2017,29.75,89000,Diesel,Automatic,197.0,470.0,10.91,3198,1,Third Party insurance,0,Bangalore
Hatchback,Maruti,Maruti Alto 800,2014,2.76,29813,Petrol,Manual,47.0,69.0,22.05,796,2,Comprehensive,5,Bangalore
Hatchback,Ford,Ford Figo,2018,5.0,30000,Petrol,Manual,86.0,112.0,18.16,1196,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Ignis,2020,7.3,13345,Petrol,Automatic,81.0,113.0,20.89,1197,1,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Alcazar,2022,22.45,17100,Diesel,Automatic,113.0,250.0,18.1,1498,1,Comprehensive,7,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2014,3.99,75000,Petrol,Manual,82.0,114.0,18.9,1197,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i10,2011,3.12,75523,Petrol,Manual,78.0,111.0,20.36,1197,2,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra XUV500,2015,12.75,47000,Diesel,Manual,140.0,330.0,16.0,2179,1,Comprehensive,7,Bangalore
SUV,Tata,Tata Harrier,2022,19.9,36500,Diesel,Manual,167.0,350.0,16.35,1956,1,Comprehensive,5,Bangalore
MUV,Renault,Renault Triber,2020,7.19,28253,Petrol,Manual,71.0,96.0,20.0,999,1,Comprehensive,7,Bangalore
SUV,Hyundai,Hyundai Creta,2016,12.6,50000,Diesel,Manual,126.0,259.0,19.67,1582,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i10,2010,3.0,90000,Petrol,Manual,78.0,111.0,20.36,1197,2,Third Party insurance,5,Bangalore
SUV,BMW,BMW X5,2016,39.81,70000,Diesel,Automatic,258.0,560.0,15.97,2993,2,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2016,6.27,52571,Petrol,Manual,81.0,114.0,18.6,1197,1,Comprehensive,5,Bangalore
Sedan,BMW,BMW 3 Series,2010,13.0,70000,Diesel,Automatic,181.0,380.0,16.07,1995,2,Third Party insurance,5,Bangalore
Sedan,Honda,Honda City,2015,6.72,61993,Petrol,Manual,117.0,145.0,17.4,1497,1,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Tucson,2017,18.25,57000,Diesel,Automatic,182.0,400.0,16.38,1995,1,Comprehensive,5,Bangalore
SUV,Toyota,Toyota Fortuner,2021,35.0,80000,Diesel,Manual,174.0,420.0,14.24,2755,2,Third Party insurance,7,Bangalore
Hatchback,Hyundai,Hyundai i20,2013,4.4,36359,Petrol,Manual,82.0,113.0,18.5,1197,1,Comprehensive,5,Bangalore
SUV,Tata,Tata Harrier,2019,14.6,70000,Diesel,Manual,138.0,350.0,17.0,1956,2,Third Party insurance,5,Bangalore
SUV,MG,MG Hector,2022,20.41,7500,Petrol,Automatic,141.0,250.0,19.24556842105263,1451,1,Comprehensive,5,Bangalore
Sedan,Hyundai,Hyundai Verna,2017,10.33,30301,Petrol,Automatic,121.0,151.0,17.0,1591,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i10,2010,2.75,66000,Petrol,Manual,78.0,111.0,20.36,1197,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2017,6.76,56010,Petrol,Manual,81.0,114.0,18.6,1197,1,Comprehensive,5,Bangalore
